,Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
324,2023,27.0,4,129.0,0.8339999999989232,0.0,21.0,21.0,1
325,2023,27.0,4,203.0,0.8179999999993015,0.0,16.5,16.5,1
326,2023,44.0,7,55.0,0.7069999999994252,0.0,19.0,19.0,1
327,2023,44.0,8,129.0,1.800999999999476,0.0,11.5,12.5,1
328,2023,44.0,5,182.0,0.8839999999981956,0.0,16.0,15.5,1
329,2023,44.0,2,203.0,4.552999999999884,2.0,16.5,17.5,1
330,2023,80.0,8,55.0,1.23700000000008,0.0,18.5,18.5,1
331,2023,57.0,4,55.0,4.77100000000064,0.0,19.0,19.0,1
332,2023,57.0,5,129.0,3.0339999999996508,0.0,11.5,11.5,1
333,2023,57.0,6,182.0,2.358000000000174,1.0,18.5,14.5,1
334,2023,32.0,12,182.0,3.9760000000023865,0.0,10.0,18.5,0
335,2023,32.0,3,203.0,0.92699999999968,0.0,16.5,16.5,1
336,2023,66.0,14,55.0,1.0010000000002035,0.0,19.0,19.0,0
337,2023,66.0,15,182.0,2.3509999999987485,0.0,14.0,14.0,0
338,2023,66.0,15,203.0,0.9910000000018044,0.0,16.0,16.0,1
339,2023,77.0,17,55.0,6.582000000000335,0.0,10.5,15.5,1
340,2023,77.0,11,129.0,3.60399999999936,0.0,11.5,21.0,0
341,2023,77.0,13,156.0,7.296000000002095,8.0,24.0,30.0,1
342,2023,77.0,11,182.0,2.0869999999995343,0.0,14.0,9.0,1
343,2023,77.0,8,203.0,0.7809999999990396,0.0,16.5,15.5,1
344,2023,77.0,2,279.0,2.059999999997672,1.0,14.5,13.5,0
345,2023,92.0,9,55.0,0.5950000000002547,0.0,18.0,21.0,0
346,2023,92.0,10,182.0,0.9650000000001456,0.0,13.0,17.0,0
347,2023,92.0,10,203.0,0.592000000000553,0.0,15.5,16.5,0
348,2023,92.0,7,257.0,2.9769999999989523,1.0,21.0,25.0,1
349,2023,92.0,7,270.0,1.151999999994587,8.0,9.5,11.5,1
350,2024,12.0,4,79.0,2.4950000000008004,0.0,21.5,21.5,1
351,2024,12.0,6,134.0,1.986999999997352,3.0,24.0,27.0,1
352,2024,12.0,3,154.0,6.556000000000495,5.0,19.0,15.0,0
353,2024,12.0,8,228.0,5.029999999998836,5.0,22.5,27.5,1
354,2024,12.0,5,285.0,3.188000000001921,0.0,21.5,16.5,1
355,2024,47.0,2,22.0,2.284000000000105,0.0,19.0,19.0,0
356,2024,47.0,9,79.0,5.647000000000844,0.0,21.0,10.0,1
357,2024,47.0,6,159.0,8.326000000000931,0.0,17.0,2.0,0
358,2024,47.0,14,202.0,9.590999999996711,0.0,13.5,9.0,0
359,2024,47.0,8,233.0,4.515999999999622,5.0,20.0,13.0,1
360,2024,47.0,3,285.0,1.8070000000006985,0.0,17.5,21.5,1
361,2024,78.0,3,22.0,7.36200000000008,0.0,19.0,19.0,1
362,2024,78.0,3,79.0,2.850000000000364,0.0,23.0,21.5,0
363,2024,78.0,3,159.0,5.47899999999936,27.0,19.0,27.5,1
364,2024,78.0,7,202.0,2.6790000000000878,0.0,11.0,12.0,1
